Original: resolve , predicted 1st: local|directory
Original: compile , predicted 1st: pattern
Original: matcher , predicted 1st: with|input
Original: get|c|ptr , predicted 1st: get|long
Original: get|c|ptr , predicted 1st: get|property
Original: get|name , predicted 1st: get|name
Original: get|type , predicted 1st: get|type
Original: get|clazz , predicted 1st: get|type
Original: get|jnsi , predicted 1st: get
Original: to|string , predicted 1st: to|string
Original: set|target , predicted 1st: set|target
Original: act , predicted 1st: is|enabled
Original: is|enabled , predicted 1st: is|enabled|enabled
Original: set|layout|enabled , predicted 1st: set|enabled
Original: get , predicted 1st: create
Original: set|style , predicted 1st: set|up
Original: begin , predicted 1st: set|start
Original: update , predicted 1st: set|value
Original: get|value , predicted 1st: get|value
Original: set|value , predicted 1st: set|value
Original: get|start , predicted 1st: get|start
Original: set|start , predicted 1st: set|start
Original: get|end , predicted 1st: get|end
Original: set|end , predicted 1st: set|end
Original: begin , predicted 1st: reset
Original: update , predicted 1st: set|percent
Original: get|rotation , predicted 1st: get|end
Original: set|rotation , predicted 1st: set|end
Original: set|base|resolver , predicted 1st: set|resolver
Original: get|base|resolver , predicted 1st: get|resolver
Original: set|prefix , predicted 1st: set|prefix
Original: get|prefix , predicted 1st: get|prefix
Original: resolve , predicted 1st: resolve|file
Original: load , predicted 1st: compare
Original: get|dependencies , predicted 1st: get|dependency|dependencies
Original: get|color , predicted 1st: get|color|color
Original: set|color , predicted 1st: color|color
Original: set|color , predicted 1st: process|external
Original: main , predicted 1st: with|shared|library|with|non|shared
Original: get|pass|quantity , predicted 1st: get|timer|quantity
Original: init , predicted 1st: init
Original: init , predicted 1st: init
Original: add|light , predicted 1st: do|get
Original: get|texture , predicted 1st: first|first
Original: to|string , predicted 1st: get|jsp|name|name
Original: get|c|ptr , predicted 1st: get|property
Original: on|click , predicted 1st: on|receive
Original: on|click , predicted 1st: on|receive
Original: on|positive , predicted 1st: on|empty
Original: on|negative , predicted 1st: on|execute
Original: set|listener , predicted 1st: set|listener
Original: get|file|handle , predicted 1st: file
Original: classpath , predicted 1st: create|file
Original: internal , predicted 1st: file
Original: external , predicted 1st: create|file
Original: absolute , predicted 1st: create|file
Original: local , predicted 1st: create|file
Original: get|external|storage|path , predicted 1st: get|path
Original: is|external|storage|available , predicted 1st: is|singleton
Original: get|local|storage|path , predicted 1st: get|path
Original: is|local|storage|available , predicted 1st: is|singleton
Original: tick , predicted 1st: set|last
Original: tick , predicted 1st: init
Original: start , predicted 1st: reset
Original: stop , predicted 1st: start
Original: reset , predicted 1st: reset
Original: to|string , predicted 1st: to|string
Original: to|string , predicted 1st: to|string
Original: create , predicted 1st: setup
Original: render , predicted 1st: do|execute
Original: dispose , predicted 1st: do|execute
Original: get , predicted 1st: get|value
Original: get|initialized|array , predicted 1st: get|length|length
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: compare|to|byte
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: set|values , predicted 1st: do|value
Original: get|values , predicted 1st: get|data|index
Original: set|pad , predicted 1st: set|char
Original: get|pad , predicted 1st: char
Original: reset , predicted 1st: reset
